antigen_id,danger,safe,class
7,0,0.4,1
7,0,0.5,1
7,0,0.6,1
7,0,0.7,1
7,0,0.8,1
7,0,0.9,1
7,0,1,1
17,0,0.9,1
17,0,0.8,1
17,0,0.7,1
17,0,0.6,1
17,0,0.5,1
17,0,0.4,1
17,0,0.3,1
7,0,0.3,1
7,0,0.3,1
7,0,0.3,1
7,0,0.4,1
28,0,0.5,1
28,0,0.6,1
28,0,0.7,1
28,0,0.8,1
28,0,0.9,1
28,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
58,0,0.985714286,1
40,0,0.985714286,1
40,0,0.985714286,1
40,0,0.985714286,1
62,0,0.971428571,1
58,0,0.957142857,1
58,0,0.942857143,1
62,0,0.928571429,1
62,0,0.914285714,1
58,0,0.9,1
62,0,0.9,1
58,0,0.885714286,1
58,0,0.871428571,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
58,0,0.857142857,1
62,0,0.857142857,1
62,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
62,0,0.857142857,1
58,0,0.857142857,1
40,0,0.871428571,1
58,0,0.871428571,1
62,0,0.871428571,1
62,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
40,0,0.885714286,1
58,0,0.885714286,1
58,0,0.885714286,1
40,0,0.885714286,1
58,0,0.885714286,1
120,0,0.9,1
58,0,0.9,1
58,0,0.9,1
58,0,0.9,1
58,0,0.9,1
58,0,0.885714286,1
58,0,0.885714286,1
58,0,0.885714286,1
58,0,0.871428571,1
58,0,0.871428571,1
130,0,0.871428571,1
131,0,0.885714286,1
132,0,0.9,1
132,0,0.914285714,1
132,0,0.928571429,1
135,0,0.942857143,1
132,0,0.957142857,1
132,0,0.971428571,1
58,0,0.971428571,1
58,0,0.971428571,1
58,0,0.957142857,1
58,0,0.942857143,1
120,0,0.942857143,1
120,0,0.942857143,1
120,0,0.942857143,1
132,0,0.942857143,1
132,0,0.942857143,1
132,0,0.942857143,1
132,0,0.957142857,1
132,0,0.971428571,1
132,0,0.985714286,1
130,0,1,1
130,0,1,1
130,0,1,1
132,0,1,1
132,0,1,1
135,0,1,1
135,0,1,1
132,0,1,1
132,0,1,1
135,0,1,1
120,0,1,1
132,0,1,1
132,0,1,1
132,0,1,1
130,0,1,1
132,0,1,1
132,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
120,0,1,1
120,0,1,1
120,0,1,1
120,0,1,1
135,0,1,1
131,0,1,1
131,0,1,1
135,0,1,1
135,0,1,1
135,0,1,1
135,0,1,1
135,0,1,1
135,0,1,1
120,0,1,1
130,0,1,1
131,0,1,1
132,0,1,1
132,0,1,1
120,0,1,1
130,0,1,1
130,0,1,1
130,0,1,1
135,0,1,1
130,0,1,1
135,0,1,1
130,0,1,1
58,0,0.985714286,1
58,0,0.971428571,1
58,0,0.957142857,1
58,0,0.942857143,1
58,0,0.928571429,1
58,0,0.914285714,1
58,0,0.9,1
58,0,0.885714286,1
58,0,0.871428571,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
135,0,0.871428571,1
135,0,0.885714286,1
135,0,0.9,1
135,0,0.914285714,1
135,0,0.928571429,1
135,0,0.942857143,1
135,0,0.957142857,1
130,0,0.971428571,1
135,0,0.985714286,1
131,0,1,1
131,0,1,1
131,0,1,1
131,0,1,1
131,0,1,1
131,0,1,1
131,0,1,1
120,0,1,1
131,0,1,1
131,0,1,1
131,0,1,1
17,0,1,1
17,0,1,1
17,0,1,1
130,0,1,1
135,0,1,1
130,0,1,1
135,0,1,1
131,0,1,1
58,0,0.985714286,1
58,0,0.971428571,1
58,0,0.957142857,1
58,0,0.942857143,1
58,0,0.928571429,1
58,0,0.914285714,1
58,0,0.9,1
58,0,0.885714286,1
58,0,0.871428571,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
131,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.871428571,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
58,0,0.857142857,1
297,0,0.838095238,1
298,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.838095238,1
58,0,0.857142857,1
297,0,0.838095238,1
297,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
58,0,0.819047619,1
